Issue URL,Fix URL,Ecosystem,Symptom,Root cause,Operating System/Platform,OS Sensitivity,Supported OSs/Platforms,System state,System State Observations,Test Input,Oracle,Component
https://github.com/theforeman/foreman-ansible-modules/issues/30,https://github.com/theforeman/foreman-ansible-modules/pull/42,Ansible,Misconfiguration,API inconsistency bugs,Independent,Insensitive,All,Unmanaged state,service (foreman),service connection,Task execution mismatch,Code
https://github.com/ansible-collections/vyos.vyos/issues/257,https://github.com/ansible-collections/vyos.vyos/pull/258,Ansible,External configuration failure,Compatibility issue with the OS/platform,device (VyOS),device (VyOS) (version),device (VyOS),State agnostic,,args (firewall);network,Valid configuration fails,Code
https://github.com/ansible-collections/ansible.windows/issues/360,https://github.com/ansible-collections/ansible.windows/pull/373,Ansible,Performance issue,Incorrect conversion/serialization of system state,Windows,Insensitive,Windows,State agnostic,,command;script (windows),Non termination/High memory usage,Code
https://github.com/ansible-collections/community.general/issues/4373,https://github.com/ansible-collections/community.general/pull/4813,Ansible,External configuration failure,Incorrect conversion/serialization of user input,Independent,Insensitive,All,State agnostic,,script (linux);args (NetworkManager);network,Valid configuration fails,Code
https://github.com/ansible-collections/ansible.posix/issues/24,https://github.com/ansible-collections/ansible.posix/commit/0118bf0cb9256637684db3f18cbd012d3851065e,Ansible,External configuration failure,Incorrect command construction/execution,Independent,Insensitive,Debian;Ubuntu;Linux,Unmanaged state,host; file (ssh conf),CLI options;filepath;args (rsync);ssh key,Valid configuration fails,Code
https://github.com/ansible-collections/hetzner.hcloud/issues/344,https://github.com/ansible-collections/hetzner.hcloud/pull/345,Ansible,Internal error (crash),Incorrect validation of user input,cloud (Hetzner),Insensitive,All,Unmanaged state,"object (cloud, account)",args (firewall);network,Improprer diagnostic message,Code
https://github.com/ansible-collections/arista.eos/issues/150,https://github.com/ansible-collections/arista.eos/pull/163,Ansible,Internal error (crash),Incorrect identification of current system state,Arista EOS,Insensitive,Arista EOS,Unmanaged state,file (ACL config),network,Valid configuration fails,Code
https://github.com/ansible-collections/ansible.windows/issues/375,https://github.com/ansible-collections/ansible.windows/pull/386,Ansible,Performance issue,Incorrect conversion/serialization of system state,Windows,Insensitive,Windows,Managed state,multiple execution; process,command;script (windows),Non termination/High memory usage,Code
https://github.com/angstwad/docker.ubuntu/issues/39,https://github.com/angstwad/docker.ubuntu/pull/63/,Ansible,Internal error (crash),Invalid DSL,Ubuntu,Insensitive,All,State agnostic,,,Valid configuration fails,Configuration
https://github.com/netbox-community/ansible_modules/issues/703,https://github.com/netbox-community/ansible_modules/pull/707,Ansible,External configuration failure,Compatibility issue with dependency,Independent,Insensitive,All,Unmanaged state,"package (OS, version); service (netbox)",service connection;hostname;args (DNS);IP;URL;token,Valid configuration fails,Code
https://github.com/ansible-collections/community.general/issues/852,https://github.com/ansible-collections/community.general/pull/1223,Ansible,Misleading report,API inconsistency bugs,device (NIOS),Insensitive,All,State agnostic,,network;args (NIOS);FQDN,Improprer diagnostic message,Code
https://github.com/containers/ansible-podman-collections/issues/39,https://github.com/containers/ansible-podman-collections/pull/49,Ansible,Idempotency issue,Incorrect identification of system state deviations,Independent,Insensitive,All,Unmanaged state,multiple execution; service (docker); file (docker image),container (spec);docker,Task execution mismatch,Code
https://github.com/ansible-collections/community.zabbix/issues/315,https://github.com/ansible-collections/community.zabbix/pull/346,Ansible,Misconfiguration,Unsound system operations,Debian,Debian,All,State agnostic,,,Examining file system state,Configuration
https://github.com/prometheus-community/ansible/issues/9,https://github.com/prometheus-community/ansible/pull/10/,Ansible,Internal error (crash),Compatibility issue with dependency,Independent,Insensitive,All,Unmanaged state,IaC (version),args (Ansible),Valid configuration fails,Configuration
https://github.com/netbox-community/ansible_modules/issues/72,https://github.com/netbox-community/ansible_modules/pull/78,Ansible,Idempotency issue,Incorrect conversion/serialization of user input,device (NIOS),Insensitive,All,Unmanaged state,service (netbox); object (netbox conf),local interface name;network;service connection;IP (with prefix);args (DNS);hostname;URL;token,Task execution mismatch,Code
https://github.com/ansible-collections/amazon.aws/issues/1148,https://github.com/ansible-collections/amazon.aws/pull/1151,Ansible,External configuration failure,Incorrect validation of user input,cloud (AWS),Insensitive,All,State agnostic,,args (AWS/EC2);cloud,Valid configuration fails,Code
https://github.com/ansible-collections/community.general/issues/997,https://github.com/ansible-collections/community.general/pull/1126,Ansible,Internal error (crash),Compatibility issue with dependency,Independent,Insensitive,All,Unmanaged state,"package (OS, version); service (influxdb)",port;hostname;db,Valid configuration fails,Code
https://github.com/ansible-collections/community.vmware/issues/539,https://github.com/ansible-collections/community.vmware/pull/588,Ansible,Internal error (crash),Resilience bugs,cloud (ESXi),Insensitive,All,Unmanaged state,service (vmware); host (vm),ip;host;auth;URL;NTP server,Valid configuration fails,Code
https://github.com/ansible-collections/community.aws/issues/1058,https://github.com/ansible-collections/community.aws/pull/1170,Ansible,Internal error (crash),Incorrect validation of user input,cloud (AWS),Insensitive,All,Unmanaged state,host (cloud),args (AWS/ECS);cloud,Valid configuration fails,Code
https://github.com/ansible-collections/community.general/issues/2818,https://github.com/ansible-collections/community.general/pull/2816,Ansible,Misconfiguration,Incorrect conversion/serialization of user input,Independent,Insensitive,All,Unmanaged state,file,file;filepath,Examining file system state,Code
https://github.com/HewlettPackard/oneview-puppet/issues/151,https://github.com/HewlettPackard/oneview-puppet/pull/152,Puppet,External configuration failure,Incorrect conversion/serialization of user input,cloud,Insensitive,All,Unmanaged state,host (cloud),cloud;args (HPE/OneView),Valid configuration fails,Code
https://github.com/voxpupuli/puppet-kibana/issues/69,https://github.com/voxpupuli/puppet-kibana/pull/71,Puppet,External configuration failure,Missing system operations,Independent,Insensitive,All,State agnostic,,URI,Valid configuration fails,Configuration
https://github.com/tampakrap/puppet-facter/issues/9,https://github.com/tampakrap/puppet-facter/commit/8b66216d2728213336b472ca1a5e130708a0aca3,Puppet,Internal error (crash),Incorrect conversion/serialization of user input,Independent,Insensitive,All,State agnostic,,,Valid configuration fails,Code
https://github.com/voxpupuli/puppet-bareos/issues/80,https://github.com/voxpupuli/puppet-bareos/pull/115/,Puppet,Misconfiguration,Bugs related to hardcoded values,Independent,Insensitive,All,State agnostic,,version (Bareos);package,Examing installed packages,Configuration
https://github.com/derdanne/puppet-nfs/issues/38,https://github.com/derdanne/puppet-nfs/pull/39,Puppet,Internal error (crash),Invalid DSL,Independent,Insensitive,All,State agnostic,,,Valid configuration fails,Configuration
https://github.com/willdurand/puppet-nodejs/issues/190,https://github.com/willdurand/puppet-nodejs/pull/191,Puppet,Internal error (crash),Incorrect command construction/execution,Independent,Insensitive,All,Managed state,"package (npm, any)",package;package (npm),Valid configuration fails,Code
https://github.com/voxpupuli/puppet-kafka/issues/186,https://github.com/voxpupuli/puppet-kafka/pull/187,Puppet,Misconfiguration,Dependency bugs,Independent,Insensitive,All,State agnostic,,,Examining file system state,Configuration
https://github.com/voxpupuli/puppet-jenkins/issues/498,https://github.com/voxpupuli/puppet-jenkins/pull/530,Puppet,Internal error (crash),Compatibility issue with dependency,Independent,Insensitive,All,State agnostic,,args (Puppet),Valid configuration fails,Configuration
https://github.com/voxpupuli/puppet-nginx/issues/1158,https://github.com/voxpupuli/puppet-nginx/pull/1159,Puppet,Internal error (crash),Invalid DSL,Independent,Insensitive,All,Unmanaged state,service (nginx),service (nginx),Valid configuration fails,Configuration
https://github.com/voxpupuli/puppet-python/issues/638,https://github.com/voxpupuli/puppet-python/pull/639,Puppet,Idempotency issue,Compatibility issue with dependency,Independent,Insensitive,RedHat;Ubuntu;Debian;Linux;CentOS;FreeBSD,Managed state,"package (OS, version)",package (pypi);package (pip),Task execution mismatch,Configuration
https://github.com/jlambert121/jlambert121-puppet/issues/47,https://github.com/jlambert121/jlambert121-puppet/commit/d2c8527496edfad767979f0ac298ff49e0629e39,Puppet,Misconfiguration,Template bugs,Independent,Insensitive,All,State agnostic,,host,Service does not work properly,Configuration
https://github.com/voxpupuli/puppet-consul/issues/211,https://github.com/voxpupuli/puppet-consul/pull/323,Puppet,Idempotency issue,Incorrect identification of current system state,Independent,Insensitive,All,Managed state,multiple execution; service (consul),auth;args (ACL);token,Task execution mismatch,Code
https://github.com/voxpupuli/puppet-mongodb/issues/517,https://github.com/voxpupuli/puppet-mongodb/pull/535,Puppet,External configuration failure,Compatibility issue with dependency,Independent,Insensitive,RedHat;Ubuntu;Debian;Linux,Managed state,"service (db); package (OS, version)",db;IP;port;args (mongodb);filepath;ip;version (mongodb);package,Valid configuration fails,Code
https://github.com/voxpupuli/puppet-postfix/issues/311,https://github.com/voxpupuli/puppet-postfix/pull/327,Puppet,External configuration failure,Incorrect conversion/serialization of user input,Independent,Insensitive,All,State agnostic,,port;host;args (postfix);IP;URL,Valid configuration fails,Configuration
https://github.com/voxpupuli/puppet-gluster/issues/10,https://github.com/voxpupuli/puppet-gluster/pull/11,Puppet,External configuration failure,Incorrect command construction/execution,Independent,Insensitive,All,Managed state,object (glusterfs mount); service (gluster),file,Valid configuration fails,Configuration
https://github.com/voxpupuli/puppet-collectd/issues/428,https://github.com/voxpupuli/puppet-collectd/pull/429/,Puppet,Misconfiguration,Compatibility issue with the OS/platform,RedHat,RedHat,All,Managed state,service (collectd); file (collectd python conf),,Logs,Configuration
https://github.com/theforeman/puppet-dns/issues/141,https://github.com/theforeman/puppet-dns/pull/142,Puppet,Misconfiguration,Template bugs,Independent,Insensitive,All,State agnostic,,IP;network;args (DNS),Service does not work properly,Configuration
https://github.com/voxpupuli/puppet-rabbitmq/issues/704,https://github.com/voxpupuli/puppet-rabbitmq/pull/705,Puppet,Internal error (crash),Resilience bugs,Ubuntu,Ubuntu (version),RedHat;Ubuntu;Debian;Linux;CentOS;FreeBSD,Managed state,service (rabbitmq),,Valid configuration fails,Code
https://github.com/voxpupuli/puppet-python/issues/196,https://github.com/voxpupuli/puppet-python/pull/198,Puppet,External configuration failure,Compatibility issue with the OS/platform,RedHat/CentOS,RedHat/CentOS (version),RedHat;Ubuntu;Debian;Linux;CentOS;FreeBSD,State agnostic,"package (OS, repo, absent)",package,Valid configuration fails,Configuration
